date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:06	3990/3990	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2008:59:49%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/264/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/264/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/264)
09:00:07	6402/6402	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2008:59:50%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/264/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/264/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/264)
09:00:08	17612/17612	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2008:59:51%20GMT	http://www.jpp.org.in/index.php/jpp/article/view/264/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/view/264/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/264)
09:00:10	6412/6412	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2008:59:53%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/264/181	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/264/181.html	(from http://www.jpp.org.in/index.php/jpp/article/view/264/181)
09:01:19	6322317/6322317	---MC-	200	added ('OK')	application/pdf	date:Mon,%2012%20Nov%202018%2008:57:39%20GMT	http://www.jpp.org.in/index.php/jpp/article/download/305/202	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/download/305/305-939-1-PB.pdf	(from http://www.jpp.org.in/index.php/jpp/article/view/305)
09:01:21	6169/6169	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:04%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/215/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/215/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/215)
09:01:22	6471/6471	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:05%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/215/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/215/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/215)
09:01:24	22311/22311	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:06%20GMT	http://www.jpp.org.in/index.php/jpp/article/view/215/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/view/215/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/215)
09:01:25	6481/6481	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:08%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/215/153	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/215/153.html	(from http://www.jpp.org.in/index.php/jpp/article/view/215/153)
09:01:31	6534961/6534961	---MC-	200	added ('OK')	application/pdf	date:Mon,%2012%20Nov%202018%2008:57:44%20GMT	http://www.jpp.org.in/index.php/jpp/article/download/208/146	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/download/208/208-645-1-PB.pdf	(from http://www.jpp.org.in/index.php/jpp/article/view/208)
09:01:32	5483/5483	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:15%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/198/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/198/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/198)
09:01:33	6533/6533	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:16%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/198/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/198/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/198)
